COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,target
95,48,83,178.0,72,10,162.0,42,20,159,176.0,379.0,184.0,70,6,16,187,197,van
91,41,84,141.0,57,9,149.0,45,19,143,170.0,330.0,158.0,72,9,14,189,199,van
104,50,106,209.0,66,10,207.0,32,23,158,223.0,635.0,220.0,73,14,9,188,196,saab
93,41,82,159.0,63,9,144.0,46,19,143,160.0,309.0,127.0,63,6,10,199,207,van
85,44,70,205.0,103,52,149.0,45,19,144,241.0,325.0,188.0,127,9,11,180,183,bus
107,57,106,172.0,50,6,255.0,26,28,169,280.0,957.0,264.0,85,5,9,181,183,bus
97,43,73,173.0,65,6,153.0,42,19,143,176.0,361.0,172.0,66,13,1,200,204,bus
90,43,66,157.0,65,9,137.0,48,18,146,162.0,281.0,164.0,67,3,3,193,202,van
86,34,62,140.0,61,7,122.0,54,17,127,141.0,223.0,112.0,64,2,14,200,208,van
93,44,98,197.0,62,11,183.0,36,22,146,202.0,505.0,152.0,64,4,14,195,204,saab
86,36,70,143.0,61,9,133.0,50,18,130,153.0,266.0,127.0,66,2,10,194,202,van
90,34,66,136.0,55,6,123.0,54,17,118,148.0,224.0,118.0,65,5,26,196,202,saab
88,46,74,171.0,68,6,152.0,43,19,148,180.0,349.0,192.0,71,5,11,189,195,bus
89,42,85,144.0,58,10,152.0,44,19,144,173.0,345.0,161.0,72,8,13,187,197,van
94,49,79,203.0,71,5,174.0,37,21,154,196.0,465.0,206.0,71,6,2,197,199,bus
96,55,103,201.0,65,9,204.0,32,23,166,227.0,624.0,246.0,74,6,2,186,194,opel
89,36,51,109.0,52,6,118.0,57,17,129,137.0,206.0,125.0,80,2,14,181,185,van
99,41,77,197.0,69,6,177.0,36,21,139,202.0,485.0,151.0,72,4,10,198,199,bus
104,54,100,186.0,61,10,216.0,31,24,173,225.0,686.0,220.0,74,5,11,185,195,saab
101,56,100,215.0,69,10,208.0,32,24,169,227.0,651.0,223.0,74,6,5,186,193,opel
84,47,75,153.0,64,6,154.0,43,19,145,175.0,354.0,184.0,75,0,3,185,192,bus
84,37,53,121.0,59,5,123.0,55,17,125,141.0,221.0,133.0,82,7,1,179,183,van
94,43,64,173.0,69,7,150.0,43,19,142,169.0,344.0,177.0,68,9,1,199,206,bus
87,39,70,148.0,61,7,143.0,46,18,136,164.0,307.0,141.0,69,1,2,192,199,bus
99,53,105,219.0,66,11,204.0,32,23,165,221.0,623.0,224.0,68,0,6,191,201,saab
85,45,80,154.0,64,9,147.0,45,19,148,169.0,324.0,174.0,71,1,4,188,199,van
83,36,54,119.0,57,6,128.0,53,18,125,143.0,238.0,139.0,82,6,3,179,183,saab
107,54,98,203.0,65,11,218.0,31,25,167,229.0,696.0,216.0,72,1,28,187,199,saab
102,45,85,193.0,64,6,192.0,33,22,146,217.0,570.0,163.0,76,6,7,195,193,bus
80,38,63,129.0,55,7,146.0,46,19,130,168.0,314.0,158.0,83,9,20,180,185,saab
89,43,85,160.0,64,11,155.0,43,19,151,173.0,356.0,174.0,72,5,9,185,196,van
88,42,77,151.0,58,8,140.0,47,18,142,165.0,293.0,158.0,64,10,11,198,205,saab
