dataset,model,accuracy,auc_ovo,gmean,cross_entropy,n_samples_train,n_samples_test,n_features,n_classes,training_time,prediction_time,total_time
MiceProtein,autosklearn,0.9938,0.9999,0.9943,0.3076,756,324,77,8,178.1807,0.3517,178.5324
analcatdata_authorship,autosklearn,0.9960,0.9995,0.9972,0.1453,588,253,70,4,41.7303,0.0191,41.7494
analcatdata_dmft,autosklearn,0.2462,0.5656,0.2366,1.6081,462,199,7,5,27.8650,0.0080,27.8729
balance-scale,autosklearn,0.9521,0.9898,0.8601,0.1434,437,188,4,3,25.1192,0.0080,25.1272
banknote-authentication,autosklearn,1.0000,1.0000,1.0000,0.0082,960,412,4,2,32.5701,0.0048,32.5749
blood-transfusion-service-center,autosklearn,0.8133,0.7714,0.6540,0.4571,523,225,4,2,20.1795,0.0045,20.1840
breast-w,autosklearn,0.9571,0.9837,0.9541,0.1406,489,210,9,2,17.7161,0.0160,17.7321
car,autosklearn,0.9788,0.9989,0.9766,0.0841,1209,519,21,4,36.5108,0.0173,36.5280
climate-model-simulation-crashes,autosklearn,0.9383,0.6429,0.5345,2.2249,378,162,18,2,18.1447,0.0038,18.1485
cmc,autosklearn,0.5475,0.7355,0.4790,0.9185,1031,442,9,3,37.8685,0.0067,37.8752
cnae-9,autosklearn,0.9537,0.9954,0.9528,0.1880,756,324,856,9,254.8084,0.0491,254.8575
credit-approval,autosklearn,0.8647,0.9139,0.8629,0.3700,483,207,46,2,21.3896,0.1792,21.5688
credit-g,autosklearn,0.7533,0.7768,0.6016,0.5014,700,300,61,2,26.6078,0.0598,26.6676
cylinder-bands,autosklearn,0.8333,0.8745,0.8119,0.4239,378,162,122,2,21.5783,0.0056,21.5839
diabetes,autosklearn,0.7359,0.6831,0.6598,9.5180,537,231,8,2,18.0759,0.0041,18.0800
dresses-sales,autosklearn,0.6067,0.6338,0.5615,0.7913,350,150,145,2,22.5673,0.0293,22.5966
eucalyptus,autosklearn,0.7014,0.8963,0.6519,0.8611,515,221,91,5,45.8124,0.0170,45.8294
ilpd,autosklearn,0.6800,0.7420,0.5393,0.5084,408,175,11,2,18.8719,0.2082,19.0801
kc2,autosklearn,0.8153,0.7741,0.4278,0.4569,365,157,21,2,15.7089,0.0076,15.7165
mfeat-factors,autosklearn,0.9850,0.9995,0.9849,0.2982,1400,600,216,10,449.3155,0.0936,449.4091
pc1,autosklearn,0.9399,0.8718,0.5850,0.1770,776,333,21,2,24.5675,0.2800,24.8475
pc3,autosklearn,0.8955,0.7801,0.4504,0.8931,1094,469,37,2,29.2844,0.0631,29.3475
pc4,autosklearn,0.9110,0.7134,0.6641,3.2094,1020,438,37,2,25.3737,0.0023,25.3760
qsar-biodeg,autosklearn,0.8707,0.9101,0.8354,0.4742,738,317,41,2,25.7896,0.0324,25.8220
semeion,autosklearn,0.9519,0.9984,0.9509,0.1874,1115,478,256,10,152.6675,0.2846,152.9521
steel-plates-fault,autosklearn,0.7873,0.9682,0.7630,0.5788,1358,583,27,7,84.6691,0.0251,84.6942
tic-tac-toe,autosklearn,0.9792,0.9926,0.9695,0.1201,670,288,27,2,19.3618,0.0022,19.3641
vehicle,autosklearn,0.8307,0.9613,0.8226,0.5168,592,254,18,4,24.4341,0.0070,24.4411
vowel,autosklearn,0.9663,0.9989,0.9653,0.4041,693,297,27,11,52.5825,0.2320,52.8145
wdbc,autosklearn,0.9708,0.9945,0.9601,0.1008,398,171,30,2,20.4872,0.0038,20.4910
