dataset,model,accuracy,auc_ovo,gmean,cross_entropy,n_samples_train,n_samples_test,n_features,n_classes,tuning_time,training_time,prediction_time,total_time
MiceProtein,catboost,0.9814814814814816,0.999922570654278,0.9816125033665454,0.0876266964997367,756,324,77,8,3349.165566921234,4.8834757804870605,0.0019640922546386,3354.051006793976
analcatdata_authorship,catboost,0.9762845849802372,0.991942893929623,0.958737702298861,0.0758784049031358,588,253,70,4,1342.3056569099426,0.8063750267028809,0.0,1343.1120319366455
analcatdata_dmft,catboost,0.2211055276381909,0.5393192405504381,0.202861146985201,1.605199410054605,462,199,7,5,612.7673363685608,0.9394533634185792,0.0009982585906982,613.7077879905701
balance-scale,catboost,0.9042553191489362,0.9463215420713414,0.5009870903863191,0.2628131594668448,437,188,4,3,897.5490627288818,1.5930309295654297,0.0,899.1420936584473
banknote-authentication,catboost,0.9975728155339806,0.9999522752762068,0.9972640167606986,0.0091225667934124,960,412,4,2,1328.1608011722565,4.393395185470581,0.0009684562683105,1332.5551648139954
blood-transfusion-service-center,catboost,0.7911111111111111,0.7443686376434915,0.5849902209335021,0.4814120039125101,523,225,4,2,620.6349923610687,0.7952148914337158,0.00099778175354,621.431205034256
breast-w,catboost,0.9428571428571428,0.9830917874396136,0.9398688537013076,0.1413682397750219,489,210,9,2,765.195981502533,1.648280143737793,0.0009970664978027,766.8452587127686
car,catboost,0.9807321772639692,0.9998079800451342,0.9816955774107552,0.0854074473864779,1209,519,21,4,1985.2525680065155,1.8298282623291016,0.0039892196655273,1987.08638548851
climate-model-simulation-crashes,catboost,0.9197530864197532,0.8672779922779923,0.4597716404803165,0.2169006706594257,378,162,18,2,1009.208080291748,1.5938127040863037,0.0,1010.8018929958344
cmc,catboost,0.5271493212669683,0.7003878917822273,0.5123702464771102,0.9773498864014016,1031,442,9,3,1508.884504556656,1.6673684120178225,0.0009655952453613,1510.552838563919
cnae-9,catboost,0.9382716049382716,0.9965920781893004,0.9371897869585591,0.2906141217888142,756,324,856,9,1080.070007562637,1.525050163269043,0.0029897689819335,1081.5980474948883
credit-approval,catboost,0.8695652173913043,0.9311909262759924,0.867170615926678,0.3334233369830297,483,207,46,2,698.9371147155762,1.004063606262207,0.0029921531677246,699.9441704750061
credit-g,catboost,0.7533333333333333,0.7863492063492062,0.6274159654095468,0.4965414249836478,700,300,61,2,713.7645604610443,0.8727927207946777,0.0059843063354492,714.6433374881744
cylinder-bands,catboost,0.7469135802469136,0.8168022528160201,0.7243744874010244,0.5498274894990648,378,162,119,2,704.583263874054,1.890944004058838,0.0060222148895263,706.4802300930023
diabetes,catboost,0.7662337662337663,0.8483127572016461,0.7184803349915343,0.4587204466941239,537,231,8,2,504.82460045814514,1.1943411827087402,0.0009973049163818,506.0199389457703
dresses-sales,catboost,0.5666666666666667,0.5749863163656268,0.4783203599277383,0.6724233371676693,350,150,141,2,510.1069495677948,0.8650288581848145,0.0070109367370605,510.9789893627167
eucalyptus,catboost,0.6606334841628959,0.9112313034188034,0.6051622464266322,0.756533378255338,515,221,91,5,1246.1852791309357,3.878146171569824,0.0069522857666015,1250.070377588272
ilpd,catboost,0.72,0.76304,0.530659966456864,0.5110552909423302,408,175,11,2,552.8603410720825,0.8377587795257568,0.0009982585906982,553.699098110199
kc2,catboost,0.802547770700637,0.75125,0.5385164807134505,0.4777633243346565,365,157,21,2,675.8024022579193,0.6915895938873291,0.0009970664978027,676.4949889183044
mfeat-factors,catboost,0.9616666666666668,0.9984074074074072,0.961200143349567,0.1455546631306539,1400,600,216,10,1293.0913090705872,2.380324602127075,0.0019943714141845,1295.4736280441284
pc1,catboost,0.933933933933934,0.8755259467040674,0.4632345574970277,0.1876788200086522,776,333,21,2,583.6375529766083,0.9304513931274414,0.0009975433349609,584.5690019130707
pc3,catboost,0.8869936034115139,0.8159639746634996,0.4018957452172801,0.2797181008228594,1094,469,37,2,763.4896929264069,1.1568293571472168,0.0009975433349609,764.647519826889
pc4,catboost,0.9041095890410958,0.9334476843910806,0.6484104931337701,0.2056222844666591,1020,438,37,2,881.77268409729,1.947397232055664,0.0,883.7200813293457
qsar-biodeg,catboost,0.8675078864353313,0.9085447263017356,0.8237139508938744,0.3588901959683909,738,317,41,2,723.4659886360168,1.187312364578247,0.0009968280792236,724.6542978286743
semeion,catboost,0.9435146443514644,0.9977962110366632,0.941972262762502,0.2046077761349988,1115,478,256,10,918.2117850780488,2.165748119354248,0.0019938945770263,920.37952709198
steel-plates-fault,catboost,0.7855917667238422,0.9677236752081244,0.7748599605194254,0.5443560312212515,1358,583,27,7,1854.846699476242,2.603464365005493,0.000972032546997,1857.4511358737943
tic-tac-toe,catboost,0.9826388888888888,0.9998936170212764,0.9746794344808964,0.0566307325426092,670,288,27,2,2491.945123195648,9.417472839355469,0.0039896965026855,2501.3665857315063
vehicle,catboost,0.7283464566929134,0.9250202375082184,0.6961432213383857,0.5413860347114556,592,254,18,4,1381.8548276424408,2.5784192085266118,0.0009987354278564,1384.4342455863953
vowel,catboost,0.9393939393939394,0.997069460032423,0.9363895240117992,0.2157077125490315,693,297,27,11,4468.9304049015045,21.11107349395752,0.0070116519927978,4490.048490047455
wdbc,catboost,0.95906432748538,0.9937207943925233,0.9609793485872706,0.1161014640296164,398,171,30,2,972.8652627468108,3.2283682823181152,0.0009975433349609,976.094628572464
