dataset,model,accuracy,auc_ovo,gmean,cross_entropy,n_samples_train,n_samples_test,n_features,n_classes,tuning_time,training_time,prediction_time,total_time
MiceProtein,lightgbm,0.9722222222222222,0.9997125446962574,0.9716674434537088,0.0815597923339593,756,324,77,8,545.4768617153168,0.4817111492156982,0.0109713077545166,545.969544172287
analcatdata_authorship,lightgbm,0.9802371541501976,0.9989591444547612,0.9592383226471312,0.0563207975614097,588,253,70,4,562.5403542518616,0.9335033893585204,0.0019953250885009,563.4758529663086
analcatdata_dmft,lightgbm,0.2160804020100502,0.5750249889163095,0.2103948600959547,1.5987359409070463,462,199,7,5,408.1311376094818,0.455782413482666,0.0009982585906982,408.5879182815552
balance-scale,lightgbm,0.9202127659574468,0.9613442632688824,0.6336990850226109,0.2020472845089018,437,188,4,3,434.9573986530304,0.976388692855835,0.0029928684234619,435.9367802143097
banknote-authentication,lightgbm,1.0,1.0,1.0,0.0080699830798685,960,412,4,2,250.7286162376404,0.3400905132293701,0.0019946098327636,251.0707013607025
blood-transfusion-service-center,lightgbm,0.7822222222222223,0.7650530647606671,0.495594627783352,0.4678217680233117,523,225,4,2,130.4669713973999,0.1984684467315673,0.0009975433349609,130.66643738746643
breast-w,lightgbm,0.9333333333333332,0.9832427536231884,0.9292613034277868,0.154892828417054,489,210,9,2,108.01272821426392,0.1645600795745849,0.0,108.1772882938385
car,lightgbm,0.9807321772639692,0.999556643034904,0.9915757839820528,0.0681210392506249,1209,519,21,4,944.546755552292,3.6891350746154794,0.0159575939178466,948.2518482208252
climate-model-simulation-crashes,lightgbm,0.9197530864197532,0.8798262548262548,0.5894831189188945,0.2239696469492035,378,162,18,2,149.79607462882996,0.425861120223999,0.0019950866699218,150.22393083572388
cmc,lightgbm,0.5226244343891403,0.7097210406796464,0.4882627867798192,0.9357118443854332,1031,442,9,3,628.1639189720154,0.8816421031951904,0.0019946098327636,629.0475556850433
cnae-9,lightgbm,0.9351851851851852,0.9953703703703703,0.9342775265319706,0.2493860446692306,756,324,856,9,655.4735417366028,1.822126626968384,0.0079786777496337,657.3036470413208
credit-approval,lightgbm,0.8743961352657005,0.9222117202268432,0.8727116986065262,0.3690508405688143,483,207,46,2,145.53634190559387,0.289226770401001,0.0009968280792236,145.8265655040741
credit-g,lightgbm,0.76,0.7672486772486773,0.6429100507328637,0.5149170533615679,700,300,61,2,173.86596202850342,0.5146241188049316,0.0019950866699218,174.38258123397827
cylinder-bands,lightgbm,0.7654320987654321,0.8311952440550688,0.7420837961110344,0.5170309936692069,378,162,119,2,304.7861971855164,0.4298508167266845,0.0009973049163818,305.2170453071594
diabetes,lightgbm,0.7402597402597403,0.8311111111111111,0.6925826895707141,0.4816062502394237,537,231,8,2,126.95773267745972,0.1855037212371826,0.0,127.1432363986969
dresses-sales,lightgbm,0.6066666666666667,0.6446816274402482,0.5614899250748772,0.6674700360947001,350,150,141,2,123.13848161697388,0.280250072479248,0.0009975433349609,123.41972923278809
eucalyptus,lightgbm,0.665158371040724,0.9033157450068258,0.6044334805829795,0.8111499375656238,515,221,91,5,685.447329044342,1.8660099506378172,0.0039894580841064,687.317328453064
ilpd,lightgbm,0.7085714285714285,0.70856,0.3085449724108303,0.5286022363173675,408,175,11,2,148.5322515964508,0.2293868064880371,0.0009965896606445,148.7626349925995
kc2,lightgbm,0.8152866242038217,0.773875,0.5672301120356712,0.4618439692663277,365,157,21,2,143.2610638141632,0.3071787357330322,0.0009965896606445,143.56923913955688
mfeat-factors,lightgbm,0.965,0.9981203703703704,0.9641618655387136,0.1335365192243761,1400,600,216,10,1392.2047233581543,4.138930797576904,0.0907578468322753,1396.4344120025637
pc1,lightgbm,0.915915915915916,0.8799438990182329,0.356467002263414,0.1922229796247975,776,333,21,2,43.97241544723511,0.0648260116577148,0.0049877166748046,44.04222917556763
pc3,lightgbm,0.8827292110874201,0.8099762470308789,0.4247047318592741,0.3845505664904576,1094,469,37,2,81.69653844833374,0.2373652458190918,0.011967658996582,81.94587135314941
pc4,lightgbm,0.910958904109589,0.9276157804459692,0.7135060680126757,0.2173678491916781,1020,438,37,2,64.12951231002808,0.1286561489105224,0.0079786777496337,64.26614713668823
qsar-biodeg,lightgbm,0.861198738170347,0.9075656430796618,0.8227408685094115,0.393900223435816,738,317,41,2,57.70269823074341,0.1246674060821533,0.0059833526611328,57.83334898948669
semeion,lightgbm,0.9121338912133892,0.994804587713206,0.9099695813710884,0.2900328003145334,1115,478,256,10,706.2938280105591,1.6166751384735107,0.0618355274200439,707.9723386764526
steel-plates-fault,lightgbm,0.7821612349914236,0.9620039291616564,0.7962225004156548,0.6537659743116171,1358,583,27,7,380.4137473106384,1.0970659255981443,0.0568475723266601,381.5676608085632
tic-tac-toe,lightgbm,0.9930555555555556,1.0,0.9899494936611666,0.0291935338960151,670,288,27,2,47.32544684410095,0.0937488079071044,0.0059850215911865,47.42518067359924
vehicle,lightgbm,0.7165354330708661,0.9159052432610124,0.6816458129564863,0.6691632392880963,592,254,18,4,157.9177167415619,0.3071792125701904,0.0129661560058593,158.23786211013794
vowel,lightgbm,0.9191919191919192,0.9947125576755208,0.914635296960893,0.2868763315460716,693,297,27,11,390.9924585819245,1.264617681503296,0.0638289451599121,392.3209052085877
wdbc,lightgbm,0.9649122807017544,0.9884637850467288,0.962497724235688,0.1167721684849268,398,171,30,2,26.39142727851868,0.0488691329956054,0.0029926300048828,26.443289041519165
