dataset,model,accuracy,auc_ovo,gmean,cross_entropy,n_samples_train,n_samples_test,n_features,n_classes,tuning_time,training_time,prediction_time,total_time
MiceProtein,resnet,1.0,1.0,1.0,0.0150677561685082,756,324,77,8,5354.07909154892,16.84350037574768,0.011284589767456,5370.933876514435
analcatdata_authorship,resnet,0.9881422924901184,0.9999048507179792,0.991464368760331,0.0452854002311852,588,253,70,4,4799.100376844406,13.060214519500732,0.0020051002502441,4812.162596464157
analcatdata_dmft,resnet,0.2311557788944723,0.5560690071181014,0.2270148676037054,1.753764291706892,462,199,7,5,420.62594079971313,0.7511677742004395,0.002908706665039,421.3800172805786
balance-scale,resnet,0.9787234042553192,0.996817547298702,0.9659447981853186,0.0706764139557879,437,188,4,3,503.6450452804565,0.1740856170654297,0.0004851818084716,503.8196160793304
banknote-authentication,resnet,1.0,1.0,1.0,0.0171803528178005,960,412,4,2,2413.9259254932404,1.02439546585083,0.0015439987182617,2414.951864957809
blood-transfusion-service-center,resnet,0.6044444444444445,0.7173489278752437,0.6538733496441943,0.6809594690314507,523,225,4,2,824.1853094100952,2.92353892326355,0.0023956298828125,827.1112439632416
breast-w,resnet,0.9333333333333332,0.9836956521739132,0.9326666873853992,0.3193210027450767,489,210,9,2,713.480147600174,1.936967372894287,0.0010304450988769,715.4181454181671
car,resnet,0.9884393063583816,0.9998311174991018,0.971309381069777,0.0278289590738702,1209,519,21,4,3397.8712627887726,11.452115774154665,0.0017397403717041,3409.325118303299
climate-model-simulation-crashes,resnet,0.8950617283950617,0.9102316602316604,0.8434393643825034,0.313688530894291,378,162,18,2,467.067611694336,0.3524446487426758,0.0010106563568115,467.4210669994354
cmc,resnet,0.5384615384615384,0.7192385678551255,0.5284188080789516,0.9840505462001186,1031,442,9,3,924.5999202728271,0.8987407684326172,0.0051875114440917,925.503848552704
cnae-9,resnet,0.9598765432098766,0.9949952846364885,0.9586677741829688,0.1842400025541152,756,324,856,9,833.5557405948639,0.247812271118164,0.000762939453125,833.8043158054352
credit-approval,resnet,0.8357487922705314,0.9169187145557656,0.8334908483774267,0.3980453701215102,483,207,46,2,1577.4210312366486,8.030672788619995,0.0022041797637939,1585.4539082050323
credit-g,resnet,0.7266666666666667,0.7610582010582011,0.6666666666666667,0.5552027222911005,700,300,61,2,896.1213185787201,1.1825222969055176,0.0027551651000976,897.3065960407257
cylinder-bands,resnet,0.7407407407407407,0.8266583229036296,0.7495305163859188,0.6390569988076341,378,162,119,2,779.5445005893707,1.579031229019165,0.0072104930877685,781.1307423114777
diabetes,resnet,0.7835497835497836,0.874074074074074,0.6931766204658765,0.5058098161073805,537,231,8,2,485.3101134300232,0.3153786659240722,0.0007331371307373,485.626225233078
dresses-sales,resnet,0.5,0.5863893450100346,0.4479880624989688,0.7483624119467004,350,150,141,2,576.755336523056,0.7425129413604736,0.0012695789337158,577.4991190433502
eucalyptus,resnet,0.6289592760180995,0.9010133111125952,0.5758706729680796,0.8225519483114091,515,221,91,5,1837.1230580806728,6.387278079986572,0.0019745826721191,1843.512310743332
ilpd,resnet,0.68,0.8004800000000001,0.7017691928262454,0.5278105914218263,408,175,11,2,512.7749707698822,0.2709457874298095,0.002671480178833,513.0485880374908
kc2,resnet,0.8343949044585988,0.7981250000000001,0.6782329983125268,0.5289706339958913,365,157,21,2,470.9310648441314,0.4103806018829345,0.0022675991058349,471.3437130451202
mfeat-factors,resnet,0.9783333333333334,0.99925,0.9779863203041984,0.0764058460605871,1400,600,216,10,6063.9176914691925,9.926876306533812,0.0026829242706298,6073.847250699997
pc1,resnet,0.90990990990991,0.8516129032258064,0.4571391003652487,0.2713264428319069,776,333,21,2,801.2285404205322,0.1137053966522216,0.0009346008300781,801.3431804180145
pc3,resnet,0.8763326226012793,0.7884996041171813,0.5757194542002002,0.3550500003053856,1094,469,37,2,1286.6071910858154,0.5229144096374512,0.0017697811126708,1287.1318752765656
pc4,resnet,0.8926940639269406,0.9286449399656946,0.7914019706490929,0.2362180622058828,1020,438,37,2,1160.0861513614657,0.6476526260375977,0.0036807060241699,1160.7374846935272
qsar-biodeg,resnet,0.8769716088328076,0.9203827325322652,0.8677580338668458,0.3342904645303193,738,317,41,2,1781.8104946613312,4.696576118469238,0.0015900135040283,1786.5086607933044
semeion,resnet,0.9288702928870292,0.996808397694813,0.9268451723160188,0.2291334717885621,1115,478,256,10,6035.203535079956,11.567870378494264,0.0137887001037597,6046.785194158554
steel-plates-fault,resnet,0.7478559176672385,0.9540077055767866,0.8027536829872949,0.7581419588015957,1358,583,27,7,2177.6432735919952,0.3362147808074951,0.0011649131774902,2177.98065328598
tic-tac-toe,resnet,0.9965277777777778,0.9998936170212764,0.99498743710662,0.0144953555532658,670,288,27,2,1036.8439571857452,2.439770221710205,0.0040159225463867,1039.2877433300018
vehicle,resnet,0.8267716535433071,0.9620588582758052,0.8096498577898005,0.3877244616669215,592,254,18,4,3487.249420404434,9.47854495048523,0.002063512802124,3496.7300288677216
vowel,resnet,0.9696969696969696,0.9990023693727398,0.9683651603593526,0.0998662180670466,693,297,27,11,2328.03955578804,2.346352815628052,0.0057401657104492,2330.3916487693787
wdbc,resnet,0.95906432748538,0.9896320093457944,0.9578591539879464,0.1355009464420906,398,171,30,2,906.9657607078552,0.3646061420440674,0.0009081363677978,907.3312749862672
